query_sample_id	n_ref_regions	n_compared_regions	n_match	n_mismatch	n_no_overlap	n_low_overlap	match_rate	mismatch_rate	mean_abs_cn_diff	median_abs_cn_diff	max_abs_cn_diff	signal_correlation
cbNIPT_25_03_07	72	72	57	15	0	0	0.7916666666666666	0.20833333333333334	0.20833333333333334	0.0	1	0.9671235661640021
cbNIPT_25_03_09	72	71	55	16	0	1	0.7746478873239436	0.22535211267605634	0.23943661971830985	0.0	2	0.9203046057120206
cbNIPT_25_03_08	72	72	55	17	0	0	0.7638888888888888	0.2361111111111111	0.2638888888888889	0.0	2	0.9536420075285973
cbNIPT_25_03_06	72	71	53	18	0	1	0.7464788732394366	0.2535211267605634	0.2535211267605634	0.0	1	0.9709166761968182
cbNIPT_25_03_03	72	72	52	20	0	0	0.7222222222222222	0.2777777777777778	0.2777777777777778	0.0	1	0.9731217746011868
cbNIPT_25_03_04	72	72	52	20	0	0	0.7222222222222222	0.2777777777777778	0.3055555555555556	0.0	2	0.9369696155502196
cbNIPT_25_03_02	72	72	50	22	0	0	0.6944444444444444	0.3055555555555556	0.3055555555555556	0.0	1	0.9708958444546194
cbNIPT_25_03_05	72	72	49	23	0	0	0.6805555555555556	0.3194444444444444	0.3194444444444444	0.0	1	0.9589850998495313
cbNIPT_25_04_01	72	70	46	24	0	2	0.6571428571428571	0.34285714285714286	0.34285714285714286	0.0	1	0.9332386182043251
cbNIPT_25_04_02	72	70	35	35	0	2	0.5	0.5	0.5857142857142857	0.5	3	0.6965672574547336
