GCX_NIPT_NO	NIPT_ID	SYNDROME	NIPT_GROUP	CHROMOSOME	FEATURE_NAME	FEATURE_TYPE	GENOMIC_POS_START	GENOMIC_POS_END	SIZE_Mb
1	NIPT_TRISOMY9	Trisomy 9	Autosome Abnormality	chr9	chr9	TargetChromosome	1	138394717	138.39
2	NIPT_TRISOMY13	Patau syndrome	Autosome Abnormality	chr13	chr13	TargetChromosome	1	114364328	114.36
3	NIPT_TRISOMY18	Edwards syndrome	Autosome Abnormality	chr18	chr18	TargetChromosome	1	80373285	80.37
3	NIPT_TRISOMY18	Edwards syndrome	Autosome Abnormality	chr18	18p	PartialChromosome	1	15460900	15.46
3	NIPT_TRISOMY18	Edwards syndrome	Autosome Abnormality	chr18	18q	PartialChromosome	20861206	80373285	59.51
3	NIPT_TRISOMY18	Edwards syndrome	Autosome Abnormality	chr18	18q12-q21	PartialChromosome	27500000	63900000	36.4
3	NIPT_TRISOMY18	Edwards syndrome	Autosome Abnormality	chr18	18q22-ter	PartialChromosome	63900000	80373285	16.47
4	NIPT_TRISOMY21	Down syndrome	Autosome Abnormality	chr21	chr21	TargetChromosome	1	46709983	46.71
4	NIPT_TRISOMY21	Down syndrome	Autosome Abnormality	chr21	21q21.1-q22.11	PartialChromosome	15000000	34400000	19.4
4	NIPT_TRISOMY21	Down syndrome	Autosome Abnormality	chr21	21q22.2-ter	PartialChromosome	38300000	46709983	8.41
4	NIPT_TRISOMY21	Down syndrome	Autosome Abnormality	chr21	21q22.3-ter	PartialChromosome	41200000	46709983	5.51
4	NIPT_TRISOMY21	Down syndrome	Autosome Abnormality	chr21	HR-DSCR	CoreRegion	36400000	41200000	4.8
5	NIPT_TRISOMY22	Trisomy 22 Mosaicism Syndrome	Autosome Abnormality	chr22	chr22	TargetChromosome	1	50818468	50.82
6	NIPT_45X	Turner syndrome	Sex Chromosome Abnormality	chrX	chrX	TargetChromosome	2800000	155600000	152.8
6	NIPT_45X	Turner syndrome	Sex Chromosome Abnormality	chrY	chrY	TargetChromosome	2800000	57227415	54.43
7	NIPT_47XXY	Klinefelter syndrome	Sex Chromosome Abnormality	chrX	chrX	TargetChromosome	2800000	155600000	152.8
7	NIPT_47XXY	Klinefelter syndrome	Sex Chromosome Abnormality	chrY	chrY	TargetChromosome	2800000	57227415	54.43
8	NIPT_47XYY	Double Y syndrome	Sex Chromosome Abnormality	chrX	chrX	TargetChromosome	2800000	155600000	152.8
8	NIPT_47XYY	Double Y syndrome	Sex Chromosome Abnormality	chrY	chrY	TargetChromosome	2800000	57227415	54.43
9	NIPT_PWS	Prader-Willi syndrome	Micro Deletion	chr15	15q11.2-q13	PrimaryTargetRegion	20500000	33400000	12.9
9	NIPT_PWS	Prader-Willi syndrome	Micro Deletion	chr15	MAGEL2	CoreGene	23643549	23647867	0
9	NIPT_PWS	Prader-Willi syndrome	Micro Deletion	chr15	NDN	CoreGene	23685400	23687305	0
9	NIPT_PWS	Prader-Willi syndrome	Micro Deletion	chr15	SNRPN	CoreGene	24823637	24978723	0.16
9	NIPT_PWS	Prader-Willi syndrome	Micro Deletion	chr15	SNURF	CoreGene	24954986	24977850	0.02
10	NIPT_AS	Angelman syndrome	Micro Deletion	chr15	15q11.2-q13	PrimaryTargetRegion	20500000	33400000	12.9
10	NIPT_AS	Angelman syndrome	Micro Deletion	chr15	UBE3A	CoreGene	25333728	25439051	0.11
11	NIPT_DGS	DiGeorge syndrome	Micro Deletion	chr22	22q11.2	PrimaryTargetRegion	17400000	25500000	8.1
11	NIPT_DGS	DiGeorge syndrome	Micro Deletion	chr22	22q11.21	CoreRegion	17400000	21700000	4.3
